"PartID" "VerbType" "Length" "TimeVE" "ot1" "ot2" "EV" "Age" "Distractor" "Subject" "Agent" "Patient" "PC" "PCC" "LC" "LCC"
"SP_P1_L1R1" "NPred" "Long" -480 -0.229341236146931 0.285500603621935 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -440 -0.220847116289638 0.253778314330609 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -400 -0.212352996432344 0.22325309255971 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -360 -0.20385887657505 0.193924938309239 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -320 -0.195364756717756 0.165793851579195 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -280 -0.186870636860463 0.138859832369579 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -240 -0.178376517003169 0.113122880680389 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -200 -0.169882397145875 0.0885829965116278 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -160 -0.161388277288581 0.0652401798632934 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -120 -0.152894157431288 0.0430944307353865 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -80 -0.144400037573994 0.022145749127907 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" -40 -0.1359059177167 0.00239413504085483 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 0 -0.127411797859406 -0.0161604115257699 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 40 -0.118917678002113 -0.0335178905719672 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 80 -0.110423558144819 -0.0496783020977372 34 59 0 0 0 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 120 -0.101929438287525 -0.0646416461030797 34 59 0 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 160 -0.0934353184302314 -0.0784079225879948 34 59 0 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 200 -0.0849411985729376 -0.0909771315524825 34 59 0 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 240 -0.0764470787156438 -0.102349272996543 34 59 0 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 280 -0.0679529588583501 -0.112524346920176 34 59 0 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 320 -0.0594588390010563 -0.121502353323381 34 59 0 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 360 -0.0509647191437626 -0.129283292206159 34 59 0 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 400 -0.0424705992864688 -0.13586716356851 34 59 0 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
"SP_P1_L1R1" "NPred" "Long" 440 -0.033976479429175 -0.141253967410433 34 59 0.333333333333333 0 0.333333333333333 0 -0.5 -0.498257839721254 0.5 0.501742160278746
